PERSONID	SERIAL	MOTIVE	MEANS1	CHARACTER1	OCCASION1	LOCATION1	OBJECT1	SPECIALTY1	INVADEMODE1	FLEEMODE1	TOOL1	FASHION1	TOOLSSOURCE1	COMMRULE1	ZONE1
R3601000220012006060004	1	125	6432	563	14	2111	507	18	2102	5	W0590	208	11	19	445300
R3601000220012006060005	1	113	5307	401	62	2228	538	3	2118	5	B0600	209	11	19	653122
R3601000220012006060006	1	114	4109	553	44	2281	534	50	2103	1	M0202	209	11	15	610126
R3601000220012006060008	1	112	4113	204	30	2382	537	5	2109	3	Y0041	313	11	16	420803
R3601000220012006060009	1	117	6290	190	10	1781	502	30	2123	2	K0499	207	11	13	150425
R3601000220012006060010	1	121	5718	543	15	2315	513	37	2211	4	R0100	312	11	19	410105
R3601000220012006060011	1	114	4302	130	26	1304	601	4	2124	4	C0228	208	11	14	653122
R3601000220012006070002	1	107	4403	526	52	1304	554	17	2111	1	P0201	302	11	13	411622
R3601000220012006070004	1	104	1190	526	69	1704	547	40	2202	3	L0799	202	11	13	350125
R3601000220012006070005	1	115	1107	202	12	2180	513	18	2306	3	C0309	207	11	12	340604
R3601000220012006070006	1	118	4390	570	27	130	542	18	2100	5	F0302	203	11	16	420626
R3601000220012006070007	1	107	6405	121	62	2282	530	14	2213	6	C0104	110	11	17	450331
R3601000220012006070008	1	105	5580	405	10	2481	543	46	2202	1	N0301	311	11	17	610427
R3601000220012006070009	1	125	5614	541	65	2404	527	31	2109	4	U0170	302	11	15	510104
R3601000220012006070010	1	103	5405	813	20	1220	542	2	2304	6	C0205	204	11	12	210411
R3601000220012006070011	1	125	6000	544	50	350	564	27	2305	4	O0203	311	11	15	652825
R3601000220012006070012	1	117	6100	556	13	1184	564	37	2118	2	X0027	311	11	11	340104
R3601000220012006070013	1	110	6409	807	67	702	516	44	2210	4	E0409	301	11	14	120104
R3601000220012006070014	1	126	4907	300	65	1409	558	47	2102	1	A1793	100	11	11	530121
R3601000220012006070015	1	109	5702	808	32	2219	534	36	2207	6	Q0103	100	11	13	362402
